variant,judge,dataset,target,construct,n_scores,mean_u,slope,intercept,reference_targets,pi_hat,cut,ba_hat,ba_lo,ba_hi,extrapolation,eval_construct,n,n_pos,n_neg,realised_pct,ba_at_cut,ba_star,V,note
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,outcome,3850,3151,699,0.208571,0.589102,0.632154,0.600840,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,outcome,2991,2239,752,0.162153,0.583937,0.680360,0.597691,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,outcome,1279,1111,168,0.265833,0.766571,0.843789,0.749397,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,outcome,1231,1051,180,0.303818,0.782419,0.832876,0.738897,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,outcome,1279,1111,168,0.265833,0.766571,0.843789,0.749397,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,outcome,1231,1051,180,0.303818,0.782419,0.832876,0.738897,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,y_env,3981,3415,566,0.276815,0.644553,0.658922,0.616117,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,y_env,4024,3439,585,0.249751,0.608523,0.655910,0.567670,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,y_env,3032,2391,641,0.263193,0.595110,0.694164,0.526449,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,y_env,3981,3415,566,0.276815,0.644553,0.658922,0.616117,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,y_env,4024,3439,585,0.249751,0.608523,0.655910,0.567670,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,y_env,3032,2391,641,0.263193,0.595110,0.694164,0.526449,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,y_env,1375,1207,168,0.242909,0.715028,0.849864,0.620394,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,y_env,1309,1129,180,0.305577,0.702554,0.815611,0.588977,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,y_env,1375,1207,168,0.242909,0.715028,0.849864,0.620394,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,y_env,1309,1129,180,0.305577,0.702554,0.815611,0.588977,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,y_env,3981,3415,566,0.270033,0.653446,0.683472,0.670438,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,y_env,4024,3439,585,0.203032,0.602315,0.662241,0.625481,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,y_env,3032,2391,641,0.229551,0.599488,0.706591,0.622331,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,y_env,3981,3415,566,0.270033,0.653446,0.683472,0.670438,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,y_env,4024,3439,585,0.203032,0.602315,0.662241,0.625481,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,y_env,3032,2391,641,0.229551,0.599488,0.706591,0.622331,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,y_env,1375,1207,168,0.247273,0.782474,0.850769,0.766548,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,y_env,1309,1129,180,0.285714,0.792698,0.840008,0.751429,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,y_env,1375,1207,168,0.247273,0.782474,0.850769,0.766548,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,y_env,1309,1129,180,0.285714,0.792698,0.840008,0.751429,
