num_id,description,value,ci,labels,construct,claim_id,section,source_path,source_sha,notes
LB-06,per-sub-rule ensemble error,A1_inadmissible 1.3%; A1_malformed 0.0%; A2_nothing_happens 0.8%; A3_exact_repeat 1.9%; A3_repeat_query 0.3%,,—,—,C4-corpus,S3_problem_setup,reports/gate1/report_phase2_ensemble_audit.md,3eea1cbc7515a6bf978efa74ca70770e0caf4100c29c51b32557b148aca6354e,A30 §3 states this as 98.0-99.7% per-sub-rule agreement
LB-07,unanimity on settled steps,all 2233 miscalled steps were unanimous (3 of 3 voting correct; 9.1%); 0-of-3 on 81.0% (19944),,—,—,C4-corpus,S3_problem_setup,reports/gate1/report_phase2_ensemble_audit.md,3eea1cbc7515a6bf978efa74ca70770e0caf4100c29c51b32557b148aca6354e,
LB-08,label corpus size,"labels_gate1.csv: 62,065 rows; 39 columns; required provenance columns ALL PRESENT",,L2,all,C4-corpus,S3_problem_setup,S0_SUMMARY.md,2c30a87adf2a26a1ddb2bf1768ddafb38cae994835fb4c9ea33de372438336b0,per-arm counts table in S0_SUMMARY
LB-09,score corpus inventory,"61 cells (16 self + 45 cross); 147 score files; 31.4 GB; 1,222,292 lines; 1008 worker shards (provenance only)",,—,—,C4-corpus,S3_problem_setup,S0_SUMMARY.md,2c30a87adf2a26a1ddb2bf1768ddafb38cae994835fb4c9ea33de372438336b0,
LB-10,target error-rate range,p ranges 0.15-0.89 across cells,,—,—,C4-corpus,S3_problem_setup,labelfree_transfer_explainer.md,773ee91a5bbe1805cd8ac05f780f331c72ecba056de7de7fac7aa3fb907425b4,§1
EG-01,evidence grid C0/R0 action alone,0.512,"[0.438, 0.586]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,Qwen3.6-35B judge; n~300/condition; chance — step quality is relational to state
EG-02,evidence grid C1/R0 + last observation,0.622,"[0.555, 0.685]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,
EG-03,evidence grid C2/R0 + full history,0.697,"[0.637, 0.755]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,history is the signal carrier
EG-04,evidence grid C3/R0 base + reasoning,0.741,"[0.675, 0.801]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,
EG-05,evidence grid C4/R0 (C3 minus action),0.740,"[0.673, 0.798]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,action token adds nothing given history+reasoning
EG-06,evidence grid C5/R0 + realized observation,0.813 (+0.072 over base),"[0.756, 0.865]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,largest single increment
EG-07,evidence grid C6/R0 + next thought/action,0.845,"[0.799, 0.888]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,
EG-08,evidence grid C3/R1 generic rubric,0.804,"[0.746, 0.853]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,
EG-09,evidence grid C3/R2 targeted rule,0.813 (+0.072 over base; +0.085 over decoy floor),"[0.753, 0.866]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,rule-recoverable fraction of the cost of irreversibility
EG-10,evidence grid C3/R3 decoy rule,0.728,"[0.661, 0.789]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,decoy ~ base
EG-11,evidence grid C0/R2 rule without history,0.531,"[0.455, 0.603]",L1,ensemble,C1-nointrinsic,S6_instrument,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,a rule without history is inert
EG-12,rules manufacture false positives,+0.155 on legitimate revisits (rule-adjacent correct steps),,L1,ensemble,C1-nointrinsic,S6_instrument,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§6a; report rule-augmented judges against decoy floor with FP rate
C1-01,no universal intrinsic metric,P(True) best in 7/11 arms; three distinct best metrics across 11 arms; winning scope flips (SPLIT-action / AGG-mean / AGG-true),,L1,ensemble,C1-nointrinsic,S4_impossibility,reports/results_report_2026-08-05.md,e1c679d9fd448b497999e597a30cb5109bd8b4c0a3d50134b658cc41acd260eb,§1
C1-02,recipe transfer cost,up to -0.10 AUROC,,L1,ensemble,C1-nointrinsic,S4_impossibility,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§2
C1-03,P(True) recipe transfer loss,-0.016 mean loss,,L1,ensemble,C1-nointrinsic,S4_impossibility,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§2
C1-04,length confound,episode length alone reaches AUROC ~= 1.0 on cap-dominated benchmarks; no aggregated metric beats it,,L1,ensemble,C1-lengthconfound,S4_impossibility,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§2
C1-05,self-assessment capability ceiling,sub-7B self-best 0.62-0.73 AUROC (0.19-0.30 below external on same frozen trajectories); per-arm best-metric band 0.622-0.883,,L1,ensemble,C1-selfceiling,S4_impossibility,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§2 + results_report §1
C1-06,verbalized in-generation confidence by tier,capable models: inverted or near-inverted (0.19-0.40); sub-7B ALFWorld arms: it is the best of a bad lot,,L1,ensemble,C1-nointrinsic,S4_impossibility,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§2; orientation stance pre-registered: no post-hoc sign flips
C1-07,step-label benchmark gap,only 4/44 agent benchmarks provide step labels (field's own survey),,—,—,C4-corpus,S1_intro,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§2
C1-08,agentic failure mass,"loops, stagnation, cap-failures carry 40-87% of the error mass",,L1,ensemble,C1-nointrinsic,S4_impossibility,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§4.5
PQ-01,prequential vs batch g-rule (primary),P-seq 22/22 (post-warm-up within 0.01 of batch); P-warm 0/22; mean post penalty -0.0002; warm-up-inclusive -0.0011,,L2,violation+judgment,C-prequential,S7_deployment,S7_SUMMARY.md,28d26f60c451222c2b3e850f05d2323c5d797148cb4612e5e458dd1dbd9d4ab1,batch rule itself FAILED its gate; faithfulness is not success (spec honest outcome)
PQ-02,prequential vs batch g-rule (judgment),P-seq 22/22; P-warm 0/22; post +0.0007; incl -0.0005,,L2,judgment,C-prequential,S7_deployment,S7_SUMMARY.md,28d26f60c451222c2b3e850f05d2323c5d797148cb4612e5e458dd1dbd9d4ab1,
PQ-03,S7.1 prequential under h,h: batch 0.7986 / post-warm-up 0.7982 / penalty -0.0004; h-noself: 0.7982 / 0.7979 / -0.0003 (22 cells each),,L2,violation+judgment,C-prequential,S7_deployment,P3_SUMMARY.md,a3417a801be9b1d8ad812277a657015886fbddaa9094f4ab23271e77a4dee90d,per-cell in tables_P3/S71_prequential_h.csv
PQ-04,prequential protocol,warm-up 100 steps; 10 episode orderings (seeds 13-22),,—,—,C-prequential,S9_appendix,S7_SUMMARY.md,28d26f60c451222c2b3e850f05d2323c5d797148cb4612e5e458dd1dbd9d4ab1,
S8-01,six-judge primary-construct f table,Qwen3.6-35B-A3B 0.898; Llama-3.3-70B 0.876; gpt-4o 0.859; Mistral-7B-v0.3 0.679; gemma-3-4b-it 0.590; Phi-4-mini 0.546,,L2,violation+judgment,C-stability,S7_deployment,S8_CRITERIA.md,c5a32162e9d3516bd9bb54e03cd24dcf9a33ad06ff104eb1890dcc4ad79a0360,mean external-cell AUROC; self-cells excluded; underpowered dropped
S8-02,construct separation of the judge field,primary spans 0.55->0.90; violation 0.60->0.86; outcome compressed 0.60->0.77,,L2,all,C-stability,S7_deployment,S8_CRITERIA.md,c5a32162e9d3516bd9bb54e03cd24dcf9a33ad06ff104eb1890dcc4ad79a0360,
S8-03,outcome-construct trap,Mistral 0.759 and Phi-4-mini 0.744 on outcome (near capable) vs 0.679 / 0.546 on primary — an outcome-only floor would qualify judges the primary rejects,,L2,outcome vs violation+judgment,C-stability,S7_deployment,S8_CRITERIA.md,c5a32162e9d3516bd9bb54e03cd24dcf9a33ad06ff104eb1890dcc4ad79a0360,
S8-04,A-1 floor and the tier gap,A-1: primary-construct external AUROC >= 0.70; all three candidate sets partition the field identically; the 0.679 -> 0.876 jump (0.20) makes placement inside it roster-invariant,,L2,violation+judgment,C-stability,S7_deployment,S8_CRITERIA.md,c5a32162e9d3516bd9bb54e03cd24dcf9a33ad06ff104eb1890dcc4ad79a0360,adopted in signature; discrimination confers external-judging eligibility only
S8-05,B-1 stability criterion,"max jackknife swing <= 8 percentile points AND slope CI width <= 0.36 (stable widths 0.180-0.240; 1.5 x 0.240 = 0.36); per-(judge, environment) verdict",,L2,violation+judgment,C-stability,S7_deployment,S8_CRITERIA.md,c5a32162e9d3516bd9bb54e03cd24dcf9a33ad06ff104eb1890dcc4ad79a0360,candidate NECESSARY condition; n=2; not sufficient; not independent evidence; validation open
S8-06,label-free eligibility outcome,Llama-70B: yes (stable both envs); Qwen3.6: hotpotqa only (alfworld unstable 11.7); gpt-4o: no — no (b) audit exists; Mistral/gemma/Phi: fail (a),,L2,violation+judgment,C-stability,S7_deployment,S8_CRITERIA.md,c5a32162e9d3516bd9bb54e03cd24dcf9a33ad06ff104eb1890dcc4ad79a0360,SIGNED section table
S4-01,S4 hindsight void size,"69,940 records VOID across 17 files (A35)",,—,—,N-hindsight,S9_appendix,runs/manifest.json,20d4f23f63553350ad38c9dc0ef8db53c4d13bb4298f81f13b815072e465ac8e,"CONFLICT: server-only untracked S4_SUMMARY.md analyses 44,573 records from this arm — see 06_GAPS; its result tables are NOT of record"
S4-02,S4 void mechanism,hindsight block appended after a CLOSED chat template (prompt_templated ends <|start_header_id|>assistant<|end_header_id|>); judge continued the agent ReAct completion; top-1 token 'The' on 100% of records; U values are residual Yes/No mass behind a token the model never intended,,—,—,N-hindsight,S9_appendix,runs/manifest.json,20d4f23f63553350ad38c9dc0ef8db53c4d13bb4298f81f13b815072e465ac8e,voided.A35_S4_hindsight.reason verbatim
S4-03,A35 tripwire parameters,raise if any single top-1 token exceeds 95% share within a 100-record window; adopted for every probe run,,—,—,N-hindsight,S9_appendix,analysis/answer_tripwire.py,06c6ce88108849f23cbe49291d7799ec9aa225a3e18637ce434de0bc05c81027,out-of-process form in analysis/audit_answers.py
S4-04,S4 probe measurements,"measured 375 assessments/5min/A100 (inherited constant 3,300 was 8.8x optimistic); mean hindsight prompt 6,957 tokens; max 35,448 vs 32,768 served context; 3/500 probe errors; projected 17.1 A100-hours vs 10.0 ceiling -> re-halt (D1.2)",,—,—,N-hindsight,S9_appendix,S4_COST.md,cf0e8a27de566832654e9ae0a253d8c9aa9e548379e0b66f6e6760b0bf5544a8,MEASURED-RE-HALT section
MS-01,A35 audit of gate-4 forecast cells,all 10 forecast cells: 100% U parse rate; Yes/No only; max single-token share 0.90 — before sealing,,—,—,C-h-forecast,S9_appendix,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,spec §A.2 blocking condition satisfied
MS-02,label-ensemble trio and disjointness,label ensemble = grok-4.3 / DeepSeek-V4-Pro / gpt-5.6-sol; gpt-4o is in none of them; no contamination mark; judgment column clean,,—,judgment,C-frontier,S6_instrument,S5_BUDGET_MEASURED.md,83f8a9580d66eaf94b0bcf5e11b8924d5cc5951d8fbce35807a154332e548a19,debt 16: names must appear verbatim in validity section
MS-03,frontier logprob availability,gpt-5.6-sol refuses logprobs (Unsupported parameter); grok-4.3 returns 400; gpt-4o returns 20 top_logprobs with Yes/No in head,,—,—,C-frontier,S9_appendix,S5_BUDGET_MEASURED.md,83f8a9580d66eaf94b0bcf5e11b8924d5cc5951d8fbce35807a154332e548a19,D2.1(a): drop never approximate
MS-04,S2 committed softenings (L1),"C-g2 0.8182 [0.6364, 0.9545] includes 0.80; C-cap 0.5552 [0.0970, 0.8471] includes 0.50 — soften committed before intervals computed",in value,L1,ensemble,N-grule,S7_deployment,S2_SUMMARY.md,9234c96ba71c2bead07e0554eacd5b4727500d3fca5ba90e5ea034f6854cf769,debt 9
MS-05,independence design-necessity,Part C's only unstable fit has the judge's own self-cell as leverage; self-cells break the p-hat characterization by -0.10 to -0.14 — external-judge design is necessary not stylistic,,mixed,violation+judgment,C-selfleniency,S5_independence,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§5 + GATE4_BCD_PARTIAL Part C
MS-06,S1a crossprobe mean AUROC per construct (L2),violation 0.7853; outcome 0.7203; judgment 0.7168; y_env 0.7396; violation+judgment 0.7140 (56 cells each; 0 underpowered),,L2,all,C4-corpus,S3_problem_setup,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,S1a matrix summary
MS-07,S1 L1 reproduction check,L1 pass through S1 harness vs banked A28.1 table: PASS at tolerance 0.001 — every cell and arm reproduces,,L1,ensemble,C4-corpus,S9_appendix,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,nothing but the label input differs
MS-08,spot check package,150 blinded steps (incl. 20 calibration controls); ex-ante question; agreement per construct computed on return; package ready at spotcheck/,,—,—,C4-corpus,S8_mechanism_and_limits,spotcheck/INSTRUCTIONS.md,f476bb93b3d91ce463f549fa9778837084ccadceb0e394ffadce602be380196e,DEFERRED (D4); A32 carries until then
